intron	logef	control	TDP_negative	deltapsi
chr1_KI270712v1_random:90494:91027:clu_27453_NA	-0.466919651685628	0.0549183520176453	0.0346576529296595	-0.0202606990879858
chr1_KI270712v1_random:90499:91027:clu_27453_NA	-0.00373619644837918	0.916238080271993	0.918857169347312	0.00261908907531927
chr1_KI270712v1_random:90499:91099:clu_27453_NA	0.470655848134007	0.0288435677103619	0.0464851777230285	0.0176416100126666
chr1:17055:17233:clu_6077_NA	-0.627429944496051	0.847631842853173	0.6901186808709	-0.157513161982273
chr1:17055:17915:clu_6077_NA	0.354497736766661	0.0272970430785621	0.0593304850422656	0.0320334419637035
chr1:17742:17915:clu_6077_NA	0.27293220772939	0.125071114068265	0.250550834086834	0.125479720018569
chr1:729955:732013:clu_6086_NA	-0.64806795904591	0.0567310559092319	0.0315960672247217	-0.0251349886845102
chr1:729955:732017:clu_6086_NA	-0.0118846962696369	0.525016337999225	0.552428226828772	0.0274118888295476
chr1:733364:735423:clu_6086_NA	1.39159688496434	0.00558791614965646	0.0239263928679645	0.0183384767183081
chr1:733364:736771:clu_6086_NA	0.0320073095913738	0.0880422769658271	0.0967957667781731	0.00875348981234596
chr1:733364:743286:clu_6086_NA	-0.633711619505222	0.0223833470716627	0.0126465501364757	-0.00973679693518709
chr1:736770:738834:clu_6086_NA	-0.129939919734941	0.302239065904397	0.282606996163893	-0.0196320697405045
chr1:749381:753663:clu_6090_NA	-0.224436079578663	0.339078065868683	0.281033035608425	-0.0580450302602583
chr1:749381:756077:clu_6090_NA	-0.168299035617791	0.449373956544399	0.39395406397962	-0.0554198925647783
chr1:753852:756077:clu_6090_NA	0.392735115196454	0.211547977586918	0.325012900411955	0.113464922825037
chr1:768613:769058:clu_6092_NA	-0.142791465403812	0.104368068444802	0.0805284401408243	-0.0238396283039776
chr1:768613:769497:clu_6092_NA	0.142791465403812	0.895631931555198	0.919471559859176	0.0238396283039776
chr1:852110:852671:clu_6101_NA	0.400395004921309	0.439069012987397	0.523656327993615	0.0845873150062172
chr1:852110:853391:clu_6101_NA	-0.622901431180322	0.146809775853421	0.0629298284636703	-0.0838799473897505
chr1:852766:853391:clu_6101_NA	0.222506426259013	0.414121211159182	0.413413843542715	-0.000707367616466614
chr1:1388065:1388626:clu_6114_NA	-0.749692559362381	0.0281228264591256	0.00662163167108048	-0.0215011947880451
chr1:1388065:1390230:clu_6114_NA	0.73537094434625	0.940098771537639	0.977314680817167	0.0372159092795272
chr1:1388743:1390230:clu_6114_NA	0.0143216150161312	0.0317784020032352	0.0160636875117529	-0.0157147144914822
chr1:1390865:1391297:clu_6115_NA	0.637077996433689	0.0202918171640453	0.068953230720047	0.0486614135560017
chr1:1392803:1393396:clu_6115_NA	-0.637077996433689	0.979708182835955	0.931046769279953	-0.0486614135560017
chr1:1642508:1645126:clu_6121_NA	-0.4437437237637	0.113318507162014	0.0744696321010811	-0.0388488750609325
chr1:1642508:1649499:clu_6121_NA	0.475844482910757	0.0701640329043668	0.115655153964195	0.0454911210598281
chr1:1645262:1649499:clu_6121_NA	-0.0321007591470572	0.81651745993362	0.809875213934724	-0.00664224599889562
chr1:1649637:1652439:clu_6122_NA	0.500721276312566	0.919672853373278	0.968912031220968	0.0492391778476903
chr1:1649637:1652469:clu_6122_NA	-0.500721276312566	0.080327146626722	0.0310879687790317	-0.0492391778476903
chr1:1655484:1657256:clu_6123_NA	0.0640958754262241	0.131702842353402	0.200752775301877	0.0690499329484748
chr1:1655484:1657375:clu_6123_NA	-0.500696520579713	0.833486219990849	0.722235136861069	-0.111251083129781
chr1:1657302:1657375:clu_6123_NA	0.436600645153489	0.0348109376557484	0.0770120878370543	0.0422011501813059
chr1:1712400:1716346:clu_6128_NA	-0.355404973717431	0.390784478150932	0.384383932769402	-0.00640054538152962
chr1:1712400:1719358:clu_6128_NA	1.06553548336014	0.00523577633514516	0.021326304508709	0.0160905281735638
chr1:1716478:1719328:clu_6128_NA	-0.355188473763588	0.299662234660456	0.294817975188436	-0.00484425947201972
chr1:1716478:1719358:clu_6128_NA	-0.354942035879123	0.304317510853467	0.299471787533452	-0.00484572332001454
chr1:1787053:1787322:clu_6132_NA	0.332978671695382	0.948567606643261	0.972897221947625	0.0243296153043638
chr1:1787053:1787326:clu_6132_NA	-0.332978671695382	0.0514323933567388	0.0271027780523751	-0.0243296153043637
chr1:1825499:1839190:clu_6133_NA	0.483962506625418	0.56603706973282	0.690130370785185	0.124093301052365
chr1:1825499:1890820:clu_6133_NA	-0.281157300962605	0.0534367609572881	0.0303137092776872	-0.0231230516796009
chr1:1839238:1847878:clu_6133_NA	0.392668415568608	0.0328968957544177	0.0366094044987593	0.00371250874434165
chr1:1839238:1852570:clu_6133_NA	-1.1186922635621	0.0503601227753792	0.0123637132239895	-0.0379964095513897
chr1:1839238:1879787:clu_6133_NA	0.582746918594079	0.0315267365579204	0.0424293920171389	0.0109026554592185
chr1:1839238:1890820:clu_6133_NA	-0.0595282762634001	0.265742414222175	0.18815341019724	-0.0775890040249344
chr1:2144341:2146027:clu_6142_NA	0.182803554222494	0.523345282479019	0.612790252997375	0.089444970518356
chr1:2146108:2148872:clu_6142_NA	-0.182803554222494	0.476654717520981	0.387209747002625	-0.089444970518356
chr1:2400935:2402097:clu_6149_NA	0.673539399956901	0.0226498296172834	0.0818393743228293	0.0591895447055459
chr1:2400935:2402207:clu_6149_NA	-0.673539399956901	0.977350170382717	0.918160625677171	-0.0591895447055458
chr1:2521315:2521718:clu_6151_NA	0.0358360781070016	0.624736932876018	0.641383851460945	0.0166469185849272
chr1:2521800:2526464:clu_6151_NA	-0.0358360781070016	0.375263067123982	0.358616148539055	-0.0166469185849273
chr1:3835092:3836495:clu_6156_NA	0.240923549436823	0.526750396473338	0.567590447597632	0.0408400511242936
chr1:3835092:3837292:clu_6156_NA	-0.308167352387299	0.0558770030956483	0.0347693172752964	-0.0211076858203519
chr1:3836692:3837288:clu_6156_NA	-0.066410935293167	0.0361649014879353	0.0286578643228045	-0.00750703716513084
chr1:3836692:3837292:clu_6156_NA	0.133654738243642	0.381207698943078	0.368982370804267	-0.012225328138811
chr1:3837345:3838964:clu_6157_NA	-0.421751460215278	0.0219833382742321	0.00957721742845361	-0.0124061208457785
chr1:3837519:3838964:clu_6157_NA	0.421751460215278	0.978016661725768	0.990422782571546	0.0124061208457784
chr1:3869775:3872472:clu_6160_NA	-0.10482042026012	0.333729792452558	0.427792449504001	0.0940626570514436
chr1:3869775:3883507:clu_6160_NA	0.564202896100038	0.0118722681200174	0.0297115266360368	0.0178392585160194
chr1:3872572:3873014:clu_6160_NA	0.378036381113757	0.0392759114678233	0.0815955461145745	0.0423196346467513
chr1:3872572:3875798:clu_6160_NA	0.7399657599278	0.0134722990900024	0.0401944257983988	0.0267221267083964
chr1:3872572:3883507:clu_6160_NA	-0.885131882931373	0.390181973316392	0.229203040819412	-0.160978932496979
chr1:3873137:3883507:clu_6160_NA	-0.198993713503909	0.0258439421744524	0.0301507386167674	0.004306796442315
chr1:3875919:3883507:clu_6160_NA	-0.493259020446193	0.185623813378755	0.161352272510809	-0.0242715408679464
chr1:4712699:4769853:clu_6161_NA	-0.352703545927956	0.622496509004066	0.448867158674521	-0.173629350329545
chr1:4769940:4772280:clu_6161_NA	0.352703545927956	0.377503490995934	0.551132841325479	0.173629350329545
chr1:5969259:5978270:clu_6166_NA	-0.075772406449566	0.475480057304513	0.437896523107031	-0.0375835341974821
chr1:5978413:5986155:clu_6166_NA	0.075772406449566	0.524519942695487	0.562103476892969	0.0375835341974821
chr1:6106287:6106395:clu_6170_NA	-0.262611243144981	0.500523174681807	0.529309341093657	0.0287861664118506
chr1:6106287:6106616:clu_6170_NA	-0.71763276287711	0.193709633035498	0.129964054340662	-0.0637455786948351
chr1:6106488:6106616:clu_6170_NA	1.21598784227537	0.00241182362629021	0.0111886666995973	0.00877684307330712
chr1:6106509:6106616:clu_6170_NA	-0.235743836253281	0.303355368656405	0.329537937866083	0.0261825692096774
chr1:6109924:6110394:clu_6171_NA	0.12817412866322	0.012584344760652	0.0162019464236013	0.00361760166294925
chr1:6109990:6110394:clu_6171_NA	-0.12817412866322	0.987415655239348	0.983798053576399	-0.00361760166294922
chr1:6110456:6111775:clu_6172_NA	-0.178987438610376	0.00635302213083919	0.00444984499069559	-0.0019031771401436
chr1:6110526:6111775:clu_6172_NA	0.178987438610376	0.993646977869161	0.995550155009304	0.00190317714014365
chr1:6135403:6136517:clu_6177_NA	0.268124669060832	0.986400549216398	0.992000006926438	0.00559945771004
chr1:6136272:6136517:clu_6177_NA	-0.268124669060832	0.0135994507836015	0.00799999307356159	-0.00559945771003996
chr1:6136861:6142128:clu_6178_NA	-0.442194679266561	0.0142757375643908	0.0139078231702787	-0.000367914394112094
chr1:6136865:6142128:clu_6178_NA	-0.442194679266561	0.976167779816536	0.95100997794164	-0.0251578018748956
chr1:6136865:6142143:clu_6178_NA	0.884389358533123	0.00955648261907337	0.0350821988880811	0.0255257162690077
chr1:6146871:6148854:clu_6180_NA	-0.206094928065448	0.747517280153969	0.662224859529301	-0.0852924206246685
chr1:6146871:6148880:clu_6180_NA	0.206094928065448	0.252482719846031	0.337775140470699	0.0852924206246684
chr1:6155717:6159336:clu_6182_NA	-1.77108043725229	0.998595876046596	0.953680943295153	-0.0449149327514431
chr1:6159204:6159336:clu_6182_NA	1.77108043725229	0.00140412395340434	0.0463190567048475	0.0449149327514432
