Gene ID	LSV ID	LSV Type	E(PSI) per LSV junction	StDev(E(PSI)) per LSV junction	A5SS	A3SS	ES	Num. Junctions	Num. Exons	Junctions coords	IR coords
HLF	HLF:s:55315227-55315447	s|1e1.1o2|1e1.2o2	0.21794872;0.78205127	0.09610248429793578;0.09610265972097594	False	True	False	2	2	55315447-55320661;55315447-55320664	
RYR2	RYR2:s:237680456-237680577	s|1e1.1o1|1e2.1o1	0.8623931;0.13760692	0.05561959253836138;0.05561975534294574	False	False	True	2	3	237680577-237687455;237680577-237698965	
SOGA3	SOGA3:s:127446408-127447740	s|1e1.1o1|2e1.1o1	0.1373077;0.86269236	0.09221493168666083;0.0922150998370149	True	False	False	2	2	127444282-127446872;127444282-127446408	
ANKRD20A4	ANKRD20A4:s:64373464-64373637	s|1e1.1o1|1e2.1o1	0.962403;0.037597	0.02767593673704638;0.027676199811766514	False	False	True	2	3	64373637-64377521;64373637-64378674	
HLCS	HLCS:s:36759727-36759841	s|1e1.1o1|1e2.1o1	0.29583335;0.70416665	0.16952286929874733;0.16952290302200546	False	False	True	2	3	36756980-36759727;36756755-36759727	
PHF14	PHF14:s:10974835-10974945	s|1e1.1o1|1e2.1o1	0.8721154;0.12788463	0.061593544859611785;0.06159354754228396	False	False	True	2	3	10974945-10982372;10974945-10990703	
LINC00265	LINC00265:s:39733568-39734044	s|1e1.1o1|1e2.1o1	0.90625;0.09375	0.10394782463484269;0.1039477497659999	False	False	True	2	3	39734044-39763548;39734044-39767404	
GK5	GK5:t:142182923-142183049	t|1e1.1o1|1e2.1o1	0.24342105;0.7565789	0.13735865189846114;0.13735872807801133	False	False	True	2	3	142183049-142185929;142183049-142184711	
PHC1	PHC1:t:8917630-8917791	t|1e1.1o1|1e2.1o1	0.011495772;0.98850423	0.013544569229622225;0.013546349350550588	False	False	True	2	3	8914827-8917630;8916069-8917630	
PTPN4	PTPN4:t:119882097-119882149	t|1e1.1o1|1e2.1o1	0.25192308;0.7480769	0.07478053134113351;0.07478053402018164	False	False	True	2	3	119877542-119882097;119881830-119882097	
PHC1	PHC1:s:8920985-8921065	s|1e1.1o1|1e2.1o2	0.95614034;0.04385965	0.039089362461373296;0.039089154805854356	False	False	True	2	3	8921065-8921601;8921065-8922633	
ANKRD20A4	ANKRD20A4:t:64378674-64378811	t|1e1.1o1|1e2.1o1	0.06869773;0.9313023	0.04573524591748231;0.04573491184499769	False	False	True	2	3	64373637-64378674;64377627-64378674	
CDC42SE2	CDC42SE2:s:131390993-131391108	s|1e1.1o2|1e1.2o2	0.84756494;0.15243506	0.08081573260652988;0.08081551731932529	False	True	False	2	2	131391108-131391829;131391108-131391918	
PHF14	PHF14:t:10990703-10990847	t|1e1.1o1|1e2.1o1	0.36159003;0.63841	0.15367397095071447;0.15367395118175567	False	False	True	2	3	10974945-10990703;10983159-10990703	
PHF14	PHF14:s:11061791-11061851	s|1e1.1o1|2e1.1o1	0.96139765;0.038602315	0.0280590951444044;0.02805914048481235	True	False	False	2	2	11061841-11061964;11061851-11061964	
RYR2	RYR2:t:237698965-237699025	t|1e1.1o1|1e2.1o1|1e3.1o1	0.003831924;0.119812086;0.87649107	0.00400755172487057;0.047848485796772575;0.04820461892526383	False	False	True	3	4	237674846-237698965;237680577-237698965;237687504-237698965	
PHC1	PHC1:t:8922633-8922788	t|1e1.1o1|1e2.1o1|2e2.1o1	0.030924678;0.7308959;0.23568943	0.029593593424053842;0.07642939744729074;0.07283842891193826	False	True	True	3	3	8921065-8922633;8921750-8922633;8921750-8922657	
ST7	ST7:t:117099762-117099844	t|1e1.1o1|1e2.1o1	0.081140354;0.91885966	0.08201342402137357;0.0820131839010163	False	False	True	2	3	116953691-117099762;117020629-117099762	
AGAP6	AGAP6:t:50008711-50010499	t|1e1.1o1|1e2.1o1	0.99541247;0.0045875423	0.003969996368883237;0.003973444985480429	False	False	True	2	3	50008076-50008711;50008633-50008711	
AC019118.2	AC019118.2:t:2950070-2950158	t|1e2.1o1|2e1.1o1|2e2.1o1	0.34090906;0.18243021;0.47908497	0.11583035597478074;0.08566319743761162;0.12409434792866808	False	True	True	3	3	2950158-2950265;2950154-2952196;2950154-2950265	
PTPN4	PTPN4:s:119920069-119920241	s|1e1.1o1|1e2.1o1	0.9600419;0.03995809	0.027032509859412232;0.027033406301886862	False	False	True	2	3	119920241-119926598;119920241-119932424	
AC019118.2	AC019118.2:s:2948270-2948373	s|1e1.1o1|1e2.1o1	0.6131395;0.38686046	0.09948741415289997;0.09948733209461423	False	False	True	2	3	2942711-2948270;2897304-2948270	
SPIN3	SPIN3:s:56995216-56995612	s|1e1.1o1|2e1.1o1|3e1.1o1	0.1415441;0.21708682;0.6666666	0.10909752708807734;0.15657558114326967;0.15966283618506258	True	False	False	3	2	56994949-56995281;56994949-56995242;56994949-56995216	
BMP2K	BMP2K:s:78878734-78879440	s|1e1.1o1|1e2.1o1	0.13157895;0.8684211	0.08360600032766058;0.08360589244892502	False	False	True	2	3	78878891-78887174;78878891-78910610	
AC019118.2	AC019118.2:t:2897188-2897304	t|1e1.1o1|1e2.1o1	0.09041394;0.9095861	0.08322116688344625;0.08322134476146457	False	False	True	2	3	2897304-2965814;2897304-2948270	
PHF14	PHF14:s:11061964-11062085	s|1e1.1o1|1e2.1o1|1e3.1o1	0.020220589;0.63797307;0.33333334	0.03595355205690156;0.17306157914979237;0.17021747108514595	False	False	True	3	4	11062085-11062671;11062085-11102486;11062085-11111350	
PTPN4	PTPN4:t:119920069-119920241	t|1e1.1o1|1e2.1o1	0.9563813;0.043618694	0.032951520969209266;0.032951211568191946	False	False	True	2	3	119915242-119920069;119916690-119920069	
MICU2	MICU2:t:21514353-21514418	t|1e1.1o1|1e2.1o1	0.18166667;0.8183333	0.09046952388047752;0.09046963515584026	False	False	True	2	3	21514418-21521245;21514418-21515534	
MICU2	MICU2:s:21502926-21503097	s|1e1.1o1|1e2.1o1	0.7742947;0.22570533	0.1022269778928117;0.10222703379841468	False	False	True	2	3	21496160-21502926;21495318-21502926	
SHPRH	SHPRH:s:145934907-145935163	s|1e1.1o1|2e1.1o1	0.02559524;0.97440475	0.0375421163522302;0.03754249139856789	True	False	False	2	2	145933178-145935080;145933178-145934907	
METTL9	METTL9:s:21624931-21625115	s|1e1.1o2|1e1.2o2	0.8636364;0.13636364	0.12360063707885484;0.12360071038024592	False	True	False	2	2	21625115-21655227;21625115-21655230	
RYR2	RYR2:s:237760955-237761028	s|1e1.1o1|1e2.1o1	0.11681293;0.88318706	0.05461530200968973;0.0546151548518241	False	False	True	2	3	237761028-237769587;237761028-237770807	
AC159540.1	AC159540.1:s:97284690-97284785	s|1e1.1o1|1e2.1o1	0.9985229;0.0014771081	0.0002888255311160451;0.00015730308830629017	False	False	True	2	3	97284785-97284878;97284785-97291540	
AC159540.1	AC159540.1:t:97284690-97284785	t|1e1.1o1|i	0.04417742;0.9558226	0.024804507099098046;0.02480425693663799	False	False	False	1	2	97282084-97284690;97284174-97284689	97284174-97284689
AC159540.1	AC159540.1:s:97284878-97285007	s|1e1.1o1|1e2.1o1	0.080090925;0.91990906	0.01948492565685924;0.019482942999435208	False	False	True	2	3	97285007-97285303;97285007-97291540	
DDX3Y	DDX3Y:t:12907537-12907594	t|1e1.1o1|1e2.1o1	0.9791667;0.020833334	0.032080188498153216;0.03208009680607172	False	False	True	2	3	12904981-12907537;12905815-12907537	
DDX5	DDX5:s:64501057-64502069	s|1e1.1o2|1e1.2o2	0.023809524;0.97619045	0.032255827975699675;0.032255997528819524	False	True	False	2	2	64500882-64502010;64500773-64502010	
DDX3Y	DDX3Y:s:12916517-12916634	s|1e1.1o2|1e1.2o2	0.85858583;0.14141414	0.06157236858332844;0.06157224972796729	False	True	False	2	2	12916634-12916907;12916634-12916976	
PTPN4	PTPN4:t:119932424-119932549	t|1e1.1o1|1e2.1o1	0.03884951;0.9611505	0.023921689503841027;0.02392323907755416	False	False	True	2	3	119920241-119932424;119926666-119932424	
BMP2K	BMP2K:t:78910610-78916365	t|1e1.1o1|1e2.1o1	0.87738097;0.12261905	0.0911610151467088;0.0911610713248101	False	False	True	2	3	78878891-78910610;78887284-78910610	
SHPRH	SHPRH:s:145933050-145933205	s|1e1.1o1|2e1.1o1	0.8824372;0.117562726	0.07728150277009144;0.07728159044485779	True	False	False	2	2	145927277-145933057;145927277-145933050	
DPYSL2	DPYSL2:t:26581969-26582057	t|1e1.1o1|1e2.1o1	0.043487396;0.9565126	0.047363817155041336;0.04736383094724912	False	False	True	2	3	26514679-26581969;26578293-26581969	
RYR2	RYR2:t:237770807-237770887	t|1e1.1o1|1e2.1o1	0.8408891;0.15911092	0.05514496097674618;0.05514483057829134	False	False	True	2	3	237761028-237770807;237769619-237770807	
RYR2	RYR2:s:237783675-237784972	s|1e1.1o2|1e1.2o2	0.9804342;0.019565798	0.012547697212125902;0.012546115931146355	False	True	False	2	2	237784972-237785969;237784972-237785975	
UBTF	UBTF:s:44212819-44212939	s|1e1.1o1|1e2.1o1	0.875;0.125	0.11574950425466135;0.11574932737070318	False	False	True	2	3	44212454-44212819;44212006-44212819	
MICU2	MICU2:t:21495161-21495318	t|1e1.1o1|1e2.1o1	0.33349803;0.666502	0.13627538354312993;0.13627534054232834	False	False	True	2	3	21495318-21502926;21495318-21496052	
