Gene ID	LSV ID	LSV Type	E(PSI) per LSV junction	StDev(E(PSI)) per LSV junction	A5SS	A3SS	ES	Num. Junctions	Num. Exons	Junctions coords	IR coords
CDC42SE2	CDC42SE2:s:131390993-131391108	s|1e1.1o2|1e1.2o2	0.875;0.125	0.10523294166902919;0.10523275558339111	False	True	False	2	2	131391108-131391829;131391108-131391918	
SHPRH	SHPRH:s:145934907-145935163	s|1e1.1o1|2e1.1o1	0.07217262;0.92782736	0.04857856972415415;0.04857845045283375	True	False	False	2	2	145933178-145935080;145933178-145934907	
SHPRH	SHPRH:s:145933050-145933205	s|1e1.1o1|2e1.1o1	0.8398557;0.16014437	0.08150146380794167;0.08150175848547217	True	False	False	2	2	145927277-145933057;145927277-145933050	
PHC1	PHC1:t:8917630-8917791	t|1e1.1o1|1e2.1o1	0.17083333;0.82916665	0.12007167890460378;0.12007174096488929	False	False	True	2	3	8914827-8917630;8916069-8917630	
PHC1	PHC1:s:8920985-8921065	s|1e1.1o1|1e2.1o2	0.9594595;0.04054054	0.04382866827370319;0.043829622664852116	False	False	True	2	3	8921065-8921601;8921065-8922633	
RYR2	RYR2:s:237680456-237680577	s|1e1.1o1|1e2.1o1	0.9401835;0.059816513	0.032867123437033255;0.032867622106728195	False	False	True	2	3	237680577-237687455;237680577-237698965	
METTL9	METTL9:s:21624931-21625115	s|1e1.1o2|1e1.2o2	0.845788;0.15421195	0.11696686214995812;0.11696685473144412	False	True	False	2	2	21625115-21655227;21625115-21655230	
PHC1	PHC1:t:8922633-8922788	t|1e1.1o1|1e2.1o1|2e2.1o1	0.046031747;0.94246036;0.012345679	0.052248894009579896;0.057182256284531316;0.019142441259406732	False	True	True	3	3	8921065-8922633;8921750-8922633;8921750-8922657	
PTPN4	PTPN4:t:119882097-119882149	t|1e1.1o1|1e2.1o1	0.204005;0.795995	0.08702951131558172;0.08702943827905518	False	False	True	2	3	119877542-119882097;119881830-119882097	
SOBP	SOBP:s:107587080-107587175	s|1e1.1o1|1e2.1o1	0.037087914;0.9629121	0.05554474497525247;0.05554468085301544	False	False	True	2	3	107587175-107627386;107587175-107633514	
