Gene ID	LSV ID	LSV Type	E(PSI) per LSV junction	StDev(E(PSI)) per LSV junction	A5SS	A3SS	ES	Num. Junctions	Num. Exons	Junctions coords	IR coords
SOBP	SOBP:s:107587080-107587175	s|1e1.1o1|1e2.1o1	0.15116279;0.8488372	0.07085779461042115;0.07085761521772799	False	False	True	2	3	107587175-107627386;107587175-107633514	
SOBP	SOBP:t:107633514-107635469	t|1e1.1o1|1e2.1o1	0.2808689;0.7191311	0.08564762809175779;0.0856476722135555	False	False	True	2	3	107533610-107633514;107587175-107633514	
AGAP6	AGAP6:t:50008711-50010499	t|1e1.1o1|1e2.1o1	0.9368932;0.0631068	0.031513411367008956;0.03151377030818362	False	False	True	2	3	50008076-50008711;50008633-50008711	
SHPRH	SHPRH:s:145934907-145935163	s|1e1.1o1|2e1.1o1	0.068509616;0.93149036	0.05098294202895705;0.05098313226757107	True	False	False	2	2	145933178-145935080;145933178-145934907	
SHPRH	SHPRH:s:145933050-145933205	s|1e1.1o1|2e1.1o1	0.68653846;0.31346154	0.12095612439611417;0.12095609993661942	True	False	False	2	2	145927277-145933057;145927277-145933050	
GK5	GK5:t:142182923-142183049	t|1e1.1o1|1e2.1o1	0.34708333;0.65291667	0.1289936572510252;0.12899363493364913	False	False	True	2	3	142183049-142185929;142183049-142184711	
PTPN4	PTPN4:t:119882097-119882149	t|1e1.1o1|1e2.1o1	0.19784382;0.8021562	0.06372061081350548;0.0637205809389365	False	False	True	2	3	119877542-119882097;119881830-119882097	
HLCS	HLCS:s:36759727-36759841	s|1e1.1o1|1e2.1o1	0.01923077;0.9807692	0.02635312514376026;0.026351414632865867	False	False	True	2	3	36756980-36759727;36756755-36759727	
AC018799.1	AC018799.1:t:194419308-194419631	t|1e1.1o1|1e2.1o1	0.5138889;0.4861111	0.13975753151137588;0.1397574974154387	False	False	True	2	3	194377337-194419308;194416418-194419308	
AC019118.2	AC019118.2:t:2950070-2950158	t|1e2.1o1|2e1.1o1|2e2.1o1	0.0062893084;0.98742133;0.0062893084	0.008257664683583977;0.013269416802352142;0.008257664683583977	False	True	True	3	3	2950158-2950265;2950154-2952196;2950154-2950265	
RYR2	RYR2:s:237680456-237680577	s|1e1.1o1|1e2.1o1	0.7009522;0.2990479	0.06046698471695105;0.060467286658175724	False	False	True	2	3	237680577-237687455;237680577-237698965	
CDC42SE2	CDC42SE2:s:131390993-131391108	s|1e1.1o2|1e1.2o2	0.76738787;0.23261216	0.05709929486398076;0.057098913955734625	False	True	False	2	2	131391108-131391829;131391108-131391918	
PHC1	PHC1:t:8917630-8917791	t|1e1.1o1|1e2.1o1	0.006666667;0.99333334	0.006917932546349044;0.006920721697768921	False	False	True	2	3	8914827-8917630;8916069-8917630	
UVRAG	UVRAG:t:75983387-75983513	t|1e1.1o1|1e2.1o1	0.90289855;0.09710145	0.04761968440851153;0.04761964304286398	False	False	True	2	3	75961549-75983387;75980038-75983387	
PTPN4	PTPN4:s:119920069-119920241	s|1e1.1o1|1e2.1o1	0.83968794;0.16031209	0.037135983295128544;0.0371363264897459	False	False	True	2	3	119920241-119926598;119920241-119932424	
PTPN4	PTPN4:t:119920069-119920241	t|1e1.1o1|1e2.1o1	0.9955749;0.004425125	0.00345902550726528;0.0034711323021872705	False	False	True	2	3	119915242-119920069;119916690-119920069	
PHF14	PHF14:s:10974835-10974945	s|1e1.1o1|1e2.1o1	0.9274811;0.072518885	0.03725238632003158;0.03725180393505968	False	False	True	2	3	10974945-10982372;10974945-10990703	
HLF	HLF:s:55315227-55315447	s|1e1.1o2|1e1.2o2	0.110268876;0.88973117	0.05341208519106108;0.053412213186776455	False	True	False	2	2	55315447-55320661;55315447-55320664	
LINC00265	LINC00265:s:39733568-39734044	s|1e1.1o1|1e2.1o1	0.7994791;0.20052084	0.09263263018635608;0.09263267838231527	False	False	True	2	3	39734044-39763548;39734044-39767404	
ASNSD1	ASNSD1:s:189663901-189663954	s|1e1.1o2|1e1.2o2	0.9722222;0.027777778	0.03758526292949638;0.03758569595710766	False	True	False	2	2	189663954-189665376;189663954-189665422	
