Gene ID	LSV ID	LSV Type	E(PSI) per LSV junction	StDev(E(PSI)) per LSV junction	A5SS	A3SS	ES	Num. Junctions	Num. Exons	Junctions coords	IR coords
RYR2	RYR2:s:237680456-237680577	s|1e1.1o1|1e2.1o1	0.666718;0.333282	0.08692282204037785;0.08692290750555624	False	False	True	2	3	237680577-237687455;237680577-237698965	
PHC1	PHC1:t:8917630-8917791	t|1e1.1o1|1e2.1o1	0.041666668;0.9583333	0.064805211009986;0.06480506843633765	False	False	True	2	3	8914827-8917630;8916069-8917630	
PHC1	PHC1:s:8920985-8921065	s|1e1.1o1|1e2.1o2	0.9814815;0.018518519	0.02466373139309786;0.024663380989467017	False	False	True	2	3	8921065-8921601;8921065-8922633	
HLF	HLF:s:55315227-55315447	s|1e1.1o2|1e1.2o2	0.022727273;0.97727275	0.03394990353327976;0.033949013239294314	False	True	False	2	2	55315447-55320661;55315447-55320664	
PHC1	PHC1:t:8922633-8922788	t|1e1.1o1|1e2.1o1|2e2.1o1	0.008659469;0.06481481;0.9259259	0.012309276128924306;0.04872402950712008;0.05109662764880319	False	True	True	3	3	8921065-8922633;8921750-8922633;8921750-8922657	
PTPN4	PTPN4:s:119920069-119920241	s|1e1.1o1|1e2.1o1	0.8324125;0.16758749	0.042806001439123074;0.04280611895450459	False	False	True	2	3	119920241-119926598;119920241-119932424	
SOGA3	SOGA3:s:127446408-127447740	s|1e1.1o1|2e1.1o1	0.6389982;0.3610018	0.08286096388024136;0.08286091369534135	True	False	False	2	2	127444282-127446872;127444282-127446408	
PHF14	PHF14:s:10974835-10974945	s|1e1.1o1|1e2.1o1	0.98235047;0.017649502	0.015552756788030636;0.015552794519218644	False	False	True	2	3	10974945-10982372;10974945-10990703	
AC019118.2	AC019118.2:t:2936919-2937233	t|1e2.1o1|2e3.1o1|3e1.1o1	0.35732758;0.120963335;0.52077496	0.1023078531562926;0.07171537885852884;0.112084222299657	False	True	True	3	4	2937233-2937266;2937223-2937256;2937191-2937414	
ANKRD20A4	ANKRD20A4:s:64373464-64373637	s|1e1.1o1|1e2.1o1	0.35693473;0.6430652	0.11308798402221648;0.11308804400086361	False	False	True	2	3	64373637-64377521;64373637-64378674	
SHPRH	SHPRH:s:145934907-145935163	s|1e1.1o1|2e1.1o1	0.27738094;0.72261906	0.1115916799511585;0.1115916881505297	True	False	False	2	2	145933178-145935080;145933178-145934907	
PTPN4	PTPN4:t:119920069-119920241	t|1e1.1o1|1e2.1o1	0.99401003;0.0059899567	0.00605939966593802;0.006061611259259066	False	False	True	2	3	119915242-119920069;119916690-119920069	
TCP1	TCP1:s:159787743-159787871	s|1e1.1o1|1e2.1o1	0.65707237;0.34292763	0.16307348990763237;0.1630735108624837	False	False	True	2	3	159785997-159787743;159784067-159787743	
ANKRD20A4	ANKRD20A4:t:64378674-64378811	t|1e1.1o1|1e2.1o1	0.5798942;0.42010581	0.12295659229735637;0.12295656408856145	False	False	True	2	3	64373637-64378674;64377627-64378674	
PHF14	PHF14:t:10990703-10990847	t|1e1.1o1|1e2.1o1	0.096875;0.903125	0.1010742998689965;0.10107426642226845	False	False	True	2	3	10974945-10990703;10983159-10990703	
ANKRD20A4	ANKRD20A4:s:64390717-64390786	s|1e1.1o2|1e1.2o2	0.42645472;0.5735452	0.13089996075402452;0.13089990197814347	False	True	False	2	2	64390786-64394738;64390786-64394741	
PTPN4	PTPN4:t:119932424-119932549	t|1e1.1o1|1e2.1o1	0.14895582;0.8510442	0.04031413342977834;0.040313887016196974	False	False	True	2	3	119920241-119932424;119926666-119932424	
CRCP	CRCP:s:66127704-66127740	s|1e1.1o1|1e2.1o1	0.49596775;0.50403225	0.08646855846930247;0.08646858775630398	False	False	True	2	3	66127740-66130127;66127740-66130744	
AGAP6	AGAP6:t:50008711-50010499	t|1e1.1o1|1e2.1o1	0.9955156;0.0044843955	0.0035488756944758912;0.0035434088857700685	False	False	True	2	3	50008076-50008711;50008633-50008711	
SHPRH	SHPRH:s:145933050-145933205	s|1e1.1o1|2e1.1o1	0.78846157;0.21153846	0.11890790900013046;0.11890784700559325	True	False	False	2	2	145927277-145933057;145927277-145933050	
PHF14	PHF14:s:11061791-11061851	s|1e1.1o1|2e1.1o1	0.4222824;0.57771754	0.058663182677040376;0.05866289048338317	True	False	False	2	2	11061841-11061964;11061851-11061964	
RYR2	RYR2:t:237698965-237699025	t|1e1.1o1|1e2.1o1|1e3.1o1	0.15852498;0.26774043;0.58885324	0.0641736598215083;0.07082164456989852;0.08808573675537867	False	False	True	3	4	237674846-237698965;237680577-237698965;237687504-237698965	
CRCP	CRCP:t:66130744-66130842	t|1e1.1o1|1e2.1o1	0.67782736;0.3221726	0.08701274653670797;0.08701272279090695	False	False	True	2	3	66127740-66130744;66130248-66130744	
CDC42SE2	CDC42SE2:s:131390993-131391108	s|1e1.1o2|1e1.2o2	0.9824507;0.017549261	0.023676116463109884;0.023676679749205853	False	True	False	2	2	131391108-131391829;131391108-131391918	
LINC00265	LINC00265:s:39733568-39734044	s|1e1.1o1|1e2.1o1	0.99557525;0.0044247787	0.0037159265940357985;0.003706103967460397	False	False	True	2	3	39734044-39763548;39734044-39767404	
UVRAG	UVRAG:t:75983387-75983513	t|1e1.1o1|1e2.1o1	0.84094447;0.15905553	0.07472400363698824;0.0747240197911455	False	False	True	2	3	75961549-75983387;75980038-75983387	
PHF14	PHF14:s:11061964-11062085	s|1e1.1o1|1e2.1o1|1e3.1o1	0.01212522;0.5218855;0.46380472	0.01977366735299733;0.12297564061764982;0.12175034485294187	False	False	True	3	4	11062085-11062671;11062085-11102486;11062085-11111350	
RYR2	RYR2:s:237760955-237761028	s|1e1.1o1|1e2.1o1	0.014928699;0.9850713	0.018970261213127483;0.018969435443965475	False	False	True	2	3	237761028-237769587;237761028-237770807	
