Gene ID	LSV ID	LSV Type	E(PSI) per LSV junction	StDev(E(PSI)) per LSV junction	A5SS	A3SS	ES	Num. Junctions	Num. Exons	Junctions coords	IR coords
PHC1	PHC1:t:8917630-8917791	t|1e1.1o1|1e2.1o1	0.024911348;0.97508866	0.01650912285925419;0.016506780037308252	False	False	True	2	3	8914827-8917630;8916069-8917630	
CDC42SE2	CDC42SE2:s:131390993-131391108	s|1e1.1o2|1e1.2o2	0.9229828;0.07701723	0.04609692294775898;0.04609715016991999	False	True	False	2	2	131391108-131391829;131391108-131391918	
GK5	GK5:t:142182923-142183049	t|1e1.1o1|1e2.1o1	0.8798077;0.120192304	0.10403679726718017;0.10403677110113459	False	False	True	2	3	142183049-142185929;142183049-142184711	
HLCS	HLCS:s:36759727-36759841	s|1e1.1o1|1e2.1o1	0.01923077;0.9807692	0.026167405582805253;0.026167643486470566	False	False	True	2	3	36756980-36759727;36756755-36759727	
PHC1	PHC1:s:8920985-8921065	s|1e1.1o1|1e2.1o2	0.97131145;0.028688524	0.02002420504400324;0.020025473439524242	False	False	True	2	3	8921065-8921601;8921065-8922633	
PHC1	PHC1:t:8922633-8922788	t|1e1.1o1|1e2.1o1|2e2.1o1	0.016927453;0.96546155;0.01969697	0.012042251324160036;0.02037559082528401;0.013398209249605135	False	True	True	3	3	8921065-8922633;8921750-8922633;8921750-8922657	
AC018799.1	AC018799.1:t:194419308-194419631	t|1e1.1o1|1e2.1o1	0.516129;0.48387098	0.13512027652892938;0.13512024648504953	False	False	True	2	3	194377337-194419308;194416418-194419308	
SHPRH	SHPRH:s:145934907-145935163	s|1e1.1o1|2e1.1o1	0.027777778;0.9722222	0.03928894255731053;0.03928856239266228	True	False	False	2	2	145933178-145935080;145933178-145934907	
PHF14	PHF14:s:10974835-10974945	s|1e1.1o1|1e2.1o1	0.9702941;0.029705882	0.026564214958782657;0.02656470840878538	False	False	True	2	3	10974945-10982372;10974945-10990703	
ANKRD20A4	ANKRD20A4:s:64373464-64373637	s|1e1.1o1|1e2.1o1	0.9599359;0.040064104	0.04358068191987375;0.04358127247134018	False	False	True	2	3	64373637-64377521;64373637-64378674	
PTPN4	PTPN4:t:119882097-119882149	t|1e1.1o1|1e2.1o1	0.26674107;0.73325896	0.13891626007951352;0.13891636452045142	False	False	True	2	3	119877542-119882097;119881830-119882097	
SOBP	SOBP:s:107587080-107587175	s|1e1.1o1|1e2.1o1	0.40863737;0.5913626	0.08501554413234233;0.08501550850696146	False	False	True	2	3	107587175-107627386;107587175-107633514	
SOGA3	SOGA3:s:127446408-127447740	s|1e1.1o1|2e1.1o1	0.087446585;0.9125534	0.05188667629168744;0.05188625512347141	True	False	False	2	2	127444282-127446872;127444282-127446408	
AGAP6	AGAP6:t:50008711-50010499	t|1e1.1o1|1e2.1o1	0.9873401;0.012659915	0.021118173675699094;0.021117605130550682	False	False	True	2	3	50008076-50008711;50008633-50008711	
METTL9	METTL9:s:21624931-21625115	s|1e1.1o2|1e1.2o2	0.82863635;0.17136364	0.06549685269212446;0.06549688941544145	False	True	False	2	2	21625115-21655227;21625115-21655230	
ANKRD20A4	ANKRD20A4:t:64378674-64378811	t|1e1.1o1|1e2.1o1	0.058159724;0.9418403	0.0604548242197623;0.06045509043485889	False	False	True	2	3	64373637-64378674;64377627-64378674	
PTPN4	PTPN4:s:119920069-119920241	s|1e1.1o1|1e2.1o1	0.91194856;0.08805141	0.03794873496864793;0.03794825848161735	False	False	True	2	3	119920241-119926598;119920241-119932424	
PTPN4	PTPN4:t:119920069-119920241	t|1e1.1o1|1e2.1o1	0.9909903;0.00900974	0.01874020818026053;0.018741487299165974	False	False	True	2	3	119915242-119920069;119916690-119920069	
CRCP	CRCP:s:66127704-66127740	s|1e1.1o1|1e2.1o1	0.1373077;0.86269236	0.10520651840841537;0.10520661896233845	False	False	True	2	3	66127740-66130127;66127740-66130744	
MBOAT2	MBOAT2:t:8860613-8860764	t|1e1.1o1|1e2.1o1	0.29166666;0.7083333	0.1644991136461376;0.1644990792698484	False	False	True	2	3	8860764-8862590;8860764-8862271	
RNF130	RNF130:s:179966286-179967010	s|1e1.1o1|1e2.1o1	0.22458333;0.7754166	0.11559275755935576;0.115592806215373	False	False	True	2	3	179963564-179966806;179955669-179966806	
