Gene ID	LSV ID	LSV Type	E(PSI) per LSV junction	StDev(E(PSI)) per LSV junction	A5SS	A3SS	ES	Num. Junctions	Num. Exons	Junctions coords	IR coords
HLF	HLF:s:55315227-55315447	s|1e1.1o2|1e1.2o2	0.15545699;0.84454304	0.05717348130311231;0.05717330982178192	False	True	False	2	2	55315447-55320661;55315447-55320664	
RYR2	RYR2:s:237680456-237680577	s|1e1.1o1|1e2.1o1	0.80724823;0.1927518	0.04810973491447005;0.04810977879214234	False	False	True	2	3	237680577-237687455;237680577-237698965	
AC019118.2	AC019118.2:t:2950070-2950158	t|1e2.1o1|2e1.1o1|2e2.1o1	0.53719085;0.0063497825;0.45546737	0.0991616686006644;0.008519838593674214;0.09916771974141808	False	True	True	3	3	2950158-2950265;2950154-2952196;2950154-2950265	
AC019118.2	AC019118.2:s:2948270-2948373	s|1e1.1o1|1e2.1o1	0.20018856;0.7998115	0.09333006462075438;0.09333022729837284	False	False	True	2	3	2942711-2948270;2897304-2948270	
LINC00265	LINC00265:s:39733568-39734044	s|1e1.1o1|1e2.1o1	0.5863354;0.41366458	0.1357622430472605;0.13576225785253343	False	False	True	2	3	39734044-39763548;39734044-39767404	
ASNSD1	ASNSD1:s:189663901-189663954	s|1e1.1o2|1e1.2o2	0.7992327;0.20076726	0.12500485748037662;0.12500487954876086	False	True	False	2	2	189663954-189665376;189663954-189665422	
RYR2	RYR2:t:237698965-237699025	t|1e1.1o1|1e2.1o1|1e3.1o1	0.003003003;0.19189662;0.8052895	0.0026597488855913303;0.046806824429627164;0.04701494314478703	False	False	True	3	4	237674846-237698965;237680577-237698965;237687504-237698965	
SHPRH	SHPRH:s:145934907-145935163	s|1e1.1o1|2e1.1o1	0.06426887;0.9357312	0.04598079475934498;0.04598083925177827	True	False	False	2	2	145933178-145935080;145933178-145934907	
PHC1	PHC1:t:8917630-8917791	t|1e1.1o1|1e2.1o1	0.008196721;0.9918033	0.009198654841377682;0.009199647502117275	False	False	True	2	3	8914827-8917630;8916069-8917630	
SHPRH	SHPRH:s:145933050-145933205	s|1e1.1o1|2e1.1o1	0.7353896;0.26461038	0.09575181788469107;0.095751741337319	True	False	False	2	2	145927277-145933057;145927277-145933050	
HLCS	HLCS:s:36759727-36759841	s|1e1.1o1|1e2.1o1	0.28311968;0.7168803	0.13477432586298227;0.13477429464078797	False	False	True	2	3	36756980-36759727;36756755-36759727	
SOBP	SOBP:s:107587080-107587175	s|1e1.1o1|1e2.1o1	0.055555556;0.9444444	0.05966651655909401;0.059666392663644936	False	False	True	2	3	107587175-107627386;107587175-107633514	
SOGA3	SOGA3:s:127446408-127447740	s|1e1.1o1|2e1.1o1	0.0909153;0.9090847	0.04871691484507823;0.048716839720838415	True	False	False	2	2	127444282-127446872;127444282-127446408	
PTPN4	PTPN4:t:119882097-119882149	t|1e1.1o1|1e2.1o1	0.11476064;0.88523936	0.07312246632610253;0.07312252953251892	False	False	True	2	3	119877542-119882097;119881830-119882097	
PHC1	PHC1:s:8920985-8921065	s|1e1.1o1|1e2.1o2	0.99248075;0.007519222	0.008311292063413148;0.008309646843196739	False	False	True	2	3	8921065-8921601;8921065-8922633	
PTPN4	PTPN4:s:119920069-119920241	s|1e1.1o1|1e2.1o1	0.7442695;0.25573054	0.058322666614046975;0.058322840981618586	False	False	True	2	3	119920241-119926598;119920241-119932424	
UVRAG	UVRAG:t:75983387-75983513	t|1e1.1o1|1e2.1o1	0.9108707;0.089129366	0.03650403788810922;0.03650419531774357	False	False	True	2	3	75961549-75983387;75980038-75983387	
SMG1P1	SMG1P1:s:22437008-22437492	s|1e1.1o1|1e2.1o1	0.82916665;0.17083333	0.13986875452375325;0.13986871659360559	False	False	True	2	3	22437492-22451620;22437492-22454702	
ANKRD20A4	ANKRD20A4:s:64373464-64373637	s|1e1.1o1|1e2.1o1	0.9413687;0.05863133	0.026283459226016447;0.02628229906412281	False	False	True	2	3	64373637-64377521;64373637-64378674	
SMG1P1	SMG1P1:t:22454702-22454865	t|1e1.1o1|1e2.1o1	0.15625;0.84375	0.1332172699710776;0.1332173147491794	False	False	True	2	3	22437492-22454702;22451658-22454702	
ANKRD20A4	ANKRD20A4:t:64378674-64378811	t|1e1.1o1|1e2.1o1	0.11166748;0.8883325	0.04759583176931743;0.047595516486849294	False	False	True	2	3	64373637-64378674;64377627-64378674	
ANKRD20A4	ANKRD20A4:s:64390717-64390786	s|1e1.1o2|1e1.2o2	0.46825397;0.53174603	0.15494148095768878;0.15494146428023478	False	True	False	2	2	64390786-64394738;64390786-64394741	
LGALS8	LGALS8:s:236542761-236542787	s|1e1.1o1|1e2.1o1	0.35016835;0.64983165	0.15375863536950057;0.15375870135578887	False	False	True	2	3	236542787-236542915;236542787-236543560	
