Gene ID	LSV ID	LSV Type	E(PSI) per LSV junction	StDev(E(PSI)) per LSV junction	A5SS	A3SS	ES	Num. Junctions	Num. Exons	Junctions coords	IR coords
CDC42SE2	CDC42SE2:s:131390993-131391108	s|1e1.1o2|1e1.2o2	0.7413793;0.25862068	0.10106790635531308;0.10106794508716538	False	True	False	2	2	131391108-131391829;131391108-131391918	
PHC1	PHC1:t:8917630-8917791	t|1e1.1o1|1e2.1o1	0.025657896;0.9743421	0.035697234363782304;0.03569639819776498	False	False	True	2	3	8914827-8917630;8916069-8917630	
AGAP6	AGAP6:t:50008711-50010499	t|1e1.1o1|1e2.1o1	0.97459143;0.02540858	0.027820192673260972;0.027819643669053228	False	False	True	2	3	50008076-50008711;50008633-50008711	
ANKRD20A4	ANKRD20A4:s:64373464-64373637	s|1e1.1o1|1e2.1o1	0.9467437;0.053256303	0.033056485794131896;0.033056642643786244	False	False	True	2	3	64373637-64377521;64373637-64378674	
ANKRD20A4	ANKRD20A4:t:64378674-64378811	t|1e1.1o1|1e2.1o1	0.06667033;0.9333297	0.041340841902641666;0.0413409574497747	False	False	True	2	3	64373637-64378674;64377627-64378674	
SOBP	SOBP:s:107587080-107587175	s|1e1.1o1|1e2.1o1	0.13648897;0.863511	0.09942017566099867;0.09942021334433124	False	False	True	2	3	107587175-107627386;107587175-107633514	
PHC1	PHC1:s:8920985-8921065	s|1e1.1o1|1e2.1o2	0.9882337;0.011766335	0.01583810805122733;0.015837666229254553	False	False	True	2	3	8921065-8921601;8921065-8922633	
PHC1	PHC1:t:8922633-8922788	t|1e1.1o1|1e2.1o1|2e2.1o1	0.007491583;0.87490153;0.11692278	0.010507840575393435;0.06888611589468785;0.06764018869789887	False	True	True	3	3	8921065-8922633;8921750-8922633;8921750-8922657	
PTPN4	PTPN4:t:119882097-119882149	t|1e1.1o1|1e2.1o1	0.16191944;0.8380805	0.08101487999490267;0.08101478084903171	False	False	True	2	3	119877542-119882097;119881830-119882097	
SOBP	SOBP:t:107633514-107635469	t|1e1.1o1|1e2.1o1	0.5153409;0.48465908	0.08526998872867975;0.08527000495793244	False	False	True	2	3	107533610-107633514;107587175-107633514	
HLF	HLF:s:55315227-55315447	s|1e1.1o2|1e1.2o2	0.025869759;0.9741303	0.024455094478877323;0.0244532916039646	False	True	False	2	2	55315447-55320661;55315447-55320664	
SHPRH	SHPRH:s:145934907-145935163	s|1e1.1o1|2e1.1o1	0.059988584;0.9400114	0.044942756569932074;0.044942537519822606	True	False	False	2	2	145933178-145935080;145933178-145934907	
ANKRD20A4	ANKRD20A4:s:64390717-64390786	s|1e1.1o2|1e1.2o2	0.6056548;0.39434522	0.1326065588838485;0.13260649315893389	False	True	False	2	2	64390786-64394738;64390786-64394741	
